keyword,exact_sale_count,exact_price_sum,exact_price_avg,exact_price_max,exact_price_stddev,start_sale_count,start_price_sum,start_price_avg,start_price_max,start_price_stddev,end_sale_count,end_price_sum,end_price_avg,end_price_max,end_price_stddev,middle_sale_count,middle_price_sum,middle_price_avg,middle_price_max,middle_price_stddev
the,22,396923,18041.95,300000,61724.25,2741,8602759,3138.55,500000,10502.12,9,33786,3754.00,15088,4140.72,728,2249687,3090.23,45000,4319.58
my,15,406959,27130.60,150000,40318.81,1718,8556101,4980.27,1200000,31744.19,42,147835,3519.88,39600,6464.43,324,953865,2944.03,69999,5619.47
online,12,605787,50482.25,510000,139615.75,759,3615355,4763.31,165000,13066.19,935,2596870,2777.40,44000,3910.12,84,241079,2869.99,56000,6575.45
shop,25,4006944,160277.76,3500000,683391.65,335,1000608,2986.89,35200,3723.06,1035,3569459,3448.75,226000,9614.93,37,70975,1918.24,10934,2353.95
e,19,413521,21764.26,163125,39676.58,1290,4944823,3833.20,1008900,29205.43,0,0,0,0,0,0,0,0,0,0
home,23,703319,30579.09,500000,100573.79,564,2523449,4474.20,166650,11947.17,415,1494050,3600.12,120322,7905.48,297,852770,2871.28,60000,5876.03
web,11,136916,12446.91,45000,12014.37,709,4040375,5698.70,1020000,43242.73,321,970651,3023.83,100000,6640.62,195,413030,2118.10,52000,4394.97
i,24,216708,9029.50,73500,15398.54,1156,5655211,4892.05,750000,29824.91,0,0,0,0,0,0,0,0,0,0
in,7,82737,11819.57,45000,14354.47,389,1276957,3282.67,35000,4064.38,234,842324,3599.68,40000,5154.93,511,1231026,2409.05,37737,2922.18
health,7,24290,3470.00,9084,3021.45,398,9803909,24632.94,8133000,407153.39,511,2053573,4018.73,38000,5565.19,220,537145,2441.57,21000,2286.73
x,34,629493,18514.50,191001,43017.65,439,1603711,3653.10,100000,7171.35,578,2583235,4469.26,150000,10681.00,0,0,0,0,0
group,6,24327,4054.50,12500,3866.16,66,198343,3005.20,33000,4448.92,918,2913554,3173.81,75000,4788.59,7,11429,1632.71,3000,837.67
of,11,83560,7596.36,50000,13634.71,24,98706,4112.75,32000,6580.00,55,125243,2277.15,23500,3498.59,900,2690082,2988.98,85000,5312.96
it,37,4469522,120797.89,3800000,614516.04,244,901340,3694.02,65986,7572.83,478,1598919,3345.02,85000,5088.25,228,662083,2903.87,64000,4873.88
life,4,45311,11327.75,17450,4783.61,287,954734,3326.60,70000,5753.21,545,1978053,3629.46,80000,7210.62,140,372999,2664.28,27500,3959.46
